id,brand,model,production_years,blind_spot_monitoring,rear_cross_traffic_alert,adaptive_cruise_control,lane_centering,camera_360,parking_assist,adaptive_matrix_headlights,head_up_display
e6f8a241-0f48-410e-abec-29d435d955b3,Alpine,A110,2017 - 2024,N,N,N,N,N,N,N,N
8cefdb15-825f-4256-89ce-b377ed3cb58d,Audi,A1 Sportback (GB),2018 - Present,N,N,O,N,N,O,N,N
ac8e64b1-a4b9-4ec7-a3ea-e500c0759098,Audi,A3 (8Y),2020 - Present,O,O,O,O,N,O,O,O
5ae5ed0d-ad49-43ab-a934-fe595f00e25c,Audi,A4 (B9),2015 - Present,O,O,O,O,O,O,O,O
9b7d7a5d-aafa-4cb5-852b-125ec06ccce8,Audi,A5 Sportback (F5),2016 - Present,O,O,O,O,O,O,O,O
da4f8242-68fd-4894-ab16-10a9e5724fe6,Audi,A6 (C8),2018 - Present,O,O,O,O,O,O,O,O
526fa231-9884-41d7-b116-eba4235231de,Audi,e-tron (GE),2019 - 2024,O,O,O,O,O,O,O,O
a4ecc706-c773-4fe5-8e37-95bcb761ebf1,Audi,Q2 (GA),2016 - Present,O,O,O,O,N,O,N,N
66364492-fbcf-4147-9ad3-df8d5005c329,Audi,Q3 (F3),2018 - Present,O,O,O,O,O,O,O,N
bf09b478-95ca-49d4-8769-004e67172814,Audi,Q4 e-tron,2021 - Present,O,O,O,O,O,O,O,O
9e5a67f4-9644-445a-a408-5c45a3fbe549,Audi,Q5 (FY),2017 - Present,O,O,O,O,O,O,O,O
4fc87ff9-57fd-4582-85e6-502dff0512b0,Audi,Q7 (4M),2015 - Present,O,O,O,O,O,O,O,O
dffc7ec5-0286-46d4-8dcd-9181d7a8db56,Audi,RS4 Avant (B9),2017 - Present,O,O,O,O,O,O,O,O
7f68aeb5-c9f5-4608-b96a-2f81c93a14ae,Audi,RS6 Avant (C8),2019 - Present,O,O,O,O,O,O,O,O
20c07f62-6a13-4ad1-9acd-fd46eb2d8cd5,Audi,TT (8S),2014 - 2023,N,N,O,N,N,O,O,N
e9704b97-ba49-4dea-a405-88600aeba39b,BMW,1 Series (F40),2019 - Present,O,O,O,O,O,O,O,O
99e31940-20f5-4f1f-a4ea-9ada60ec9c82,BMW,3 Series (G20/G21),2019 - Present,O,O,O,O,O,O,O,O
a8b7d04d-8064-42b0-bee8-cece3906f1b1,BMW,5 Series (G30/G31),2017 - 2024,O,O,O,O,O,O,O,O
84e5f4d0-3f40-4377-8556-dd8926cb3a9f,BMW,5 Series / i5 (G60),2023 - Present,S,O,S,O,S,O,S,S
a12f413a-dc14-4af0-bb10-f14621621c86,BMW,i4,2021 - Present,O,O,O,O,O,O,O,O
4eaa5801-1e10-4d48-b1c3-1dcbe1c5b488,BMW,iX (I20),2021 - Present,O,O,O,O,O,O,O,O
101c657d-2876-4b04-94c7-6d73560fd7b6,BMW,iX1 (U11),2022 - Present,O,O,O,O,O,O,O,O
1c4777ef-953b-4d56-a74a-c036fd2d7bf1,BMW,M5 (F90),2018 - 2023,O,O,O,O,O,O,O,O
707aeb7b-36f8-40d6-a7f7-01f5c0bb6f8f,BMW,X1 (F48),2015 - 2022,O,O,O,O,O,O,O,O
bb2fe6a1-c6d8-42a5-958b-5d19bd8613dc,BMW,X1 (U11),2022 - Present,O,O,O,O,O,O,O,O
50cbad36-b3ea-4580-90fa-f4378d9e5de1,BMW,X2 (F39),2018 - 2024,O,O,O,O,O,O,O,O
7be8ca06-c090-458e-837f-6a56d5be67d1,BMW,X3 (G01),2017 - Present,O,O,O,O,O,O,O,O
dd083662-30c5-48eb-8d7c-62a1ce2dec08,BMW,X4 (G02),2018 - Present,O,O,O,O,O,O,O,O
441841c2-9b5a-42d7-8000-a234705805c3,BMW,X5 (G05),2018 - Present,O,O,O,O,O,O,O,O
d4b925ac-733a-49d2-b80a-5b537a0cc54e,BMW,Z4 (G29),2019 - Present,O,O,O,N,N,O,O,O
6427e3e2-d351-43c5-b316-0b59110824a1,BYD,Atto 3,2022 - Present,S,S,S,S,S,S,N,N
f746f927-4e35-476c-aeb4-18f0f60df741,BYD,Dolphin,2023 - Present,S,S,S,S,S,S,N,N
c367ce1e-6e06-4f99-8735-4637c85e641c,BYD,Seal,2023 - Present,S,S,S,S,S,S,N,O
db4938b5-4afa-4fbb-bb76-c6d2bed372ad,Chery,Tiggo 7 Pro,2023 - Present,O,O,O,O,O,O,N,N
21cc2082-87f2-4b94-8b6a-c3d4a181c001,Chevrolet,Camaro (Gen6),2016 - 2024,O,O,N,N,N,O,N,O
aefea3e9-57b2-4259-8134-a2e0f51c4bd4,Chevrolet,Corvette C8 Stingray,2020 - Present,O,O,N,N,N,O,N,S
0128480a-1d7a-4f0d-9307-296fbd0190ef,Citroën,Berlingo III (K9),2018 - Present,O,N,O,O,N,O,N,O
0cf65d71-e02e-4cec-8457-6d745ac10fb8,Citroën,C3 Aircross,2017 - Present,N,N,N,N,N,N,N,N
81b74d2f-0dee-4c19-8ade-e6456e557868,Citroën,C3 III,2017 - Present,N,N,N,N,N,N,N,N
8dabc8e6-701c-4886-8bd1-506e945169f4,Citroën,C4 III / ë-C4,2020 - Present,O,O,O,O,N,O,N,O
4621be88-11af-4ccb-b96f-b0f29502ffea,Citroën,C5 Aircross,2018 - Present,O,O,O,O,N,O,N,O
53a485ec-21a8-473b-9961-02242ce56fa1,Citroën,C5 X,2022 - Present,O,O,O,O,O,O,N,O
a910c52e-38b7-4cbb-8ee0-034278c8f318,Cupra,Born,2021 - Present,O,O,O,O,N,O,O,O
627f1019-935b-4c14-869e-8beaf20581a0,Cupra,Formentor,2020 - Present,O,O,O,O,O,O,O,N
90011245-a21e-4966-b6a5-b12803af7029,Cupra,Tavascan,2024 - Present,O,O,O,O,O,O,O,O
