vehicle_id,brand,model,production_years,transmission_variant,awd_engine_labels,proposed_code,confidence,reason
c6db572c-cd14-4024-a0f1-c52140198d86,Audi,Q3 (8U),2011 - 2018,6-speed Manual,quattro,,high,"FINAL — confirmed: this row is FWD-only per its own notes (""For FWD diesel and 1.4 TFSI""), not AWD-relevant. Correctly has no drivetrain code."
c6db572c-cd14-4024-a0f1-c52140198d86,Audi,Q3 (8U),2011 - 2018,S-tronic DQ200 (7-speed dry),quattro,,high,"FINAL — confirmed: this row is FWD-only per its own notes (""For 1.4 TFSI FWD""), not AWD-relevant. Correctly has no drivetrain code."
c6db572c-cd14-4024-a0f1-c52140198d86,Audi,Q3 (8U),2011 - 2018,S-tronic DQ250 (6-speed wet),quattro,haldex_gen5,medium,"FINAL — confirmed by user as an INTERIM pairing pending a future facelift split. This is the one AWD-relevant row (""for quattro models"" per its own transmission notes); its production span (2011-2018) straddles the pre/post-2014-facelift haldex_gen4/gen5 boundary with no way to distinguish which era from this single DB row — haldex_gen5 applied as the interim default."
84e5f4d0-3f40-4377-8556-dd8926cb3a9f,BMW,5 Series / i5 (G60),2023 - Present,ZF 8HP,xdrive,,low,"This transmission row (""ZF 8HP"") is the 520d diesel's own 8-speed torque-converter automatic — that engine is RWD, not AWD, in this DB row. Only the electric i5 M60 xDrive engine is AWD here, and it pairs with the OTHER transmission row (""Single-speed EV (i5)""), not this one."
627f1019-935b-4c14-869e-8beaf20581a0,Cupra,Formentor,2020 - Present,6-speed Manual,,haldex_gen5,high,FINAL — confirmed by user. MQB platform (same rationale as SEAT Leon III 4Drive/Ateca/Tarraco/A3(8V)).
627f1019-935b-4c14-869e-8beaf20581a0,Cupra,Formentor,2020 - Present,DSG DQ200 (7-speed dry),,haldex_gen5,high,FINAL — confirmed by user. MQB platform (same rationale as SEAT Leon III 4Drive/Ateca/Tarraco/A3(8V)).
627f1019-935b-4c14-869e-8beaf20581a0,Cupra,Formentor,2020 - Present,DSG DQ381 (7-speed wet),,haldex_gen5,high,FINAL — confirmed by user. MQB platform (same rationale as SEAT Leon III 4Drive/Ateca/Tarraco/A3(8V)).
1c57f878-5377-4952-b83f-6c57b98ba858,Mitsubishi,L200 (KL),2019 - Present,6-speed Manual,,,low,FINAL — confirmed by user: left OUT of pairing entirely. No reliable signal in this DB distinguishes Easy Select vs Super Select 4WD-II trim; not guessing.
1c57f878-5377-4952-b83f-6c57b98ba858,Mitsubishi,L200 (KL),2019 - Present,Aisin 6AT,,,low,FINAL — confirmed by user: left OUT of pairing entirely. No reliable signal in this DB distinguishes Easy Select vs Super Select 4WD-II trim; not guessing.
c70f4664-2872-4fae-985d-ddcfd9bfbc46,SEAT,Ateca,2016 - Present,6-speed Manual,,haldex_gen5,high,FINAL — confirmed by user. MQB platform.
c70f4664-2872-4fae-985d-ddcfd9bfbc46,SEAT,Ateca,2016 - Present,DSG DQ200 (7-speed dry),,haldex_gen5,high,FINAL — confirmed by user. MQB platform.
c70f4664-2872-4fae-985d-ddcfd9bfbc46,SEAT,Ateca,2016 - Present,DSG DQ381 (7-speed wet),,haldex_gen5,high,FINAL — confirmed by user. MQB platform.
2f0dc803-a40b-46c3-bff8-c2b306c1fb92,SEAT,Tarraco,2018 - Present,6-speed Manual,,haldex_gen5,high,FINAL — confirmed by user. MQB platform.
2f0dc803-a40b-46c3-bff8-c2b306c1fb92,SEAT,Tarraco,2018 - Present,DSG DQ381 (7-speed wet),,haldex_gen5,high,FINAL — confirmed by user. MQB platform.
b2ac5992-e1fb-47f1-a9a3-a9d1a88b31ec,Audi,A3 (8V),2012 - 2020,6-speed Manual,quattro,haldex_gen5,high,FINAL — confirmed by user. MQB platform.
b2ac5992-e1fb-47f1-a9a3-a9d1a88b31ec,Audi,A3 (8V),2012 - 2020,S-tronic DQ200 (7-speed dry),quattro,haldex_gen5,high,FINAL — confirmed by user. MQB platform.
b2ac5992-e1fb-47f1-a9a3-a9d1a88b31ec,Audi,A3 (8V),2012 - 2020,S-tronic DQ250/DQ381 (6/7-speed wet),quattro,haldex_gen5,high,FINAL — confirmed by user. MQB platform.
ac8e64b1-a4b9-4ec7-a3ea-e500c0759098,Audi,A3 (8Y),2020 - Present,6-speed Manual,quattro,haldex_gen5,low,"Not listed — MQB Evo successor to A3(8V)/Golf VII platform family; platform continuity inferred, not a direct listing. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]"
ac8e64b1-a4b9-4ec7-a3ea-e500c0759098,Audi,A3 (8Y),2020 - Present,S-tronic DQ200 (7-speed dry),quattro,haldex_gen5,low,"Not listed — MQB Evo successor to A3(8V)/Golf VII platform family; platform continuity inferred, not a direct listing. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]"
ac8e64b1-a4b9-4ec7-a3ea-e500c0759098,Audi,A3 (8Y),2020 - Present,S-tronic DQ381 (7-speed wet),quattro,haldex_gen5,low,"Not listed — MQB Evo successor to A3(8V)/Golf VII platform family; platform continuity inferred, not a direct listing. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]"
5ae5ed0d-ad49-43ab-a934-fe595f00e25c,Audi,A4 (B9),2015 - Present,6-speed Manual,quattro,quattro_ultra,low,This vehicle's AWD engine is a TDI quattro; manual+quattro combinations exist on some A4 variants but I can't confirm this specific manual row is the AWD-paired one rather than one of the FWD-only petrol engines' gearbox.
5ae5ed0d-ad49-43ab-a934-fe595f00e25c,Audi,A4 (B9),2015 - Present,S-tronic DQ200 (7-speed dry),quattro,quattro_ultra,low,"Also ""7-speed S-tronic"" per the doc's literal qualifier, but the DRY-clutch DQ200 is more commonly paired with lower-torque FWD-only applications in this catalog — likely this row actually belongs to one of A4(B9)'s FWD-only petrol engines, not the AWD quattro TDI. Flagging the uncertainty rather than asserting it confidently."
a4ecc706-c773-4fe5-8e37-95bcb761ebf1,Audi,Q2 (GA),2016 - Present,6-speed Manual,quattro,haldex_gen5,low,"Not listed. MQB-A0 platform, same generation cohort as haldex_gen5-listed siblings — platform inference only. [Note: this model also has non-AWD engine variants in the DB; this transmission row may belong to one of those instead.]"
