# Allowed values for "type" (drivetrain_systems.type CHECK constraint) — use exactly one of these, nothing else:
# haldex, torsen, permanent, on_demand, dual_motor
code,type,generation,maker,description,reliability_note,maintenance_note
haldex_gen5,haldex,Gen 5,BorgWarner (Haldex),"Front-wheel-drive based; a wet multi-plate clutch on the rear axle is pre-charged by an electric pump and clamps to send torque rearward the instant slip is predicted. VAG badges it quattro / 4MOTION / 4x4 / 4Drive; Volvo uses the BorgWarner successor.","Reliable if serviced. Classic failure is the Haldex pump and its filter clogging with clutch debris, dropping rear drive and throwing an AWD warning; clutch-pack wear follows on neglected cars.","Haldex oil + pump filter every ~40-60k km. The most-skipped service and the main reason these fail - not 'lifetime'."
haldex_gen4,haldex,Gen 4,BorgWarner (Haldex),"Same electric-pump-and-clutch principle as Gen 5 but an earlier, slower-reacting pre-MQB generation.","Same pump/filter clogging as Gen 5 but more prone to it; accumulator and pump failures on neglected cars.","Haldex oil + filter every ~40-50k km; the older generation punishes neglect harder."
haldex_gen2,haldex,Gen 2,Haldex Traction,"FWD-based; wet multi-plate clutch on the rear axle. Uses a mechanical hydraulic pump that requires a speed difference (wheel slip) between front and rear axles to generate pressure and engage the clutch. Slower reacting than Gen 4/5. Used on VAG transverse 4x4/4MOTION of the mid-2000s (Octavia II pre-facelift, etc.).","Mechanically robust if oil and filter are changed strictly every 60,000 km. Neglect leads to clogged filters, mechanical pump failure, and clutch-pack wear - resulting in a complete loss of AWD. Simpler and slower-reacting than the later electronic-pump generations.","Haldex oil + filter change ~every 60k km, ~EUR 80-150. The single most important service for this system; the mechanical pump and filter clog and the rear clutch wears if it's skipped, causing loss of AWD."
quattro_torsen,torsen,Torsen permanent,JTEKT (Torsen),"Purely mechanical torque-sensing centre differential, always engaged, shuffling torque to whichever axle has grip - no clutches or electronics in the split. RS models add an active sport rear diff.","Very robust. At high km you see centre-diff and prop-shaft support-bearing wear and CV-joint wear rather than the diff itself failing.","Centre and final-drive oil every ~90-120k km; otherwise almost nothing to schedule."
quattro_ultra,on_demand,quattro ultra,Audi,"Longitudinal but runs front-drive for economy; a clutch pack plus a dog clutch fully decouple the rear prop-shaft, then re-engage predictively before slip. Which cars got ultra vs the Torsen diff is engine-dependent.","Newer with few chronic issues; watch the rear decoupler / clutch actuator and its software.","Clutch-pack and rear-diff fluid per schedule (~60k km) plus normal diff oil."
xdrive_long,on_demand,longitudinal,BMW (Magna/GKN),"Rear-biased; a transfer case with an electronically-controlled multi-plate clutch normally feeds the rear and pushes torque forward on slip. M xDrive adds a disconnectable rear-only mode.","Signature failure is the transfer-case actuator (servo) motor - a worn actuator gear causes a clunk/vibration and AWD fault, accelerated by neglected oil.","Transfer-case oil every ~60-100k km; replace the actuator if it clunks (a known repair)."
xdrive_trans,on_demand,transverse (UKL),BMW / MINI (GKN),"Front-drive UKL platform with a GKN wet multi-plate clutch on the rear axle; shared BMW xDrive / MINI ALL4 hardware.","Rear coupling and power-take-off (PTU) wear; broadly reliable.","PTU and rear-diff fluid every ~60k km."
4matic_trans,on_demand,transverse (MFA),Mercedes-Benz,"Front-drive with an on-demand multi-plate coupling feeding the rear axle when needed.","Coupling / PTU wear; relatively few chronic problems.","Transfer/coupling fluid every ~60-80k km."
4matic_long,on_demand,longitudinal,Mercedes-Benz,"Permanent-feel AWD through a transfer case with a multi-plate clutch and planetary centre; AMG 4MATIC+ is fully variable with a drift mode.","Transfer-case chain and bearing wear at high km; robust otherwise, though the AMG clutch wears under repeated launches.","Transfer-case and diff oil every ~60-100k km."
subaru_symmetrical,permanent,Symmetrical AWD,Subaru,"Longitudinal boxer layout, permanently all-wheel-drive; CVT cars split torque with an electronic multi-plate transfer clutch, manuals use a viscous centre diff.","Defining risk is mismatched tyres - uneven tread or wrong sizes make the centre diff/clutch bind and fail (AWD wind-up). Viscous-coupling wear on manuals.","Keep all four tyres matched in size and tread (the real maintenance item); front/rear diff and transfer fluid every ~60k km."
htrac,on_demand,HTRAC,Hyundai-Kia (Magna),"Front-drive with an electronic multi-plate rear coupling and a driver-selectable lock mode.","Coupling overheating under sustained load (towing, deep snow) and actuator issues; generally reliable.","Rear-coupling/diff fluid every ~60k km."
hk_dynamax,on_demand,Dynamax (older),Hyundai-Kia (Magna),"Earlier Magna on-demand coupling - the same front-based, engage-on-slip principle with less sophisticated control than HTRAC.","Coupling wear and overheating if worked hard.","Coupling fluid every ~60k km."
mazda_iactiv,on_demand,i-Activ AWD,Mazda,"Predictive electronic coupling that pre-engages using sensor data (temperature, wipers, steering); front-based, except the CX-60 which is longitudinal and rear-biased.","Coupling wear; few chronic issues.","Transfer/coupling and diff fluid every ~60k km."
porsche_ptm,on_demand,PTM,Porsche,"Rear-biased longitudinal AWD with an actively-managed multi-plate clutch shifting torque forward.","Transfer-case and actuator wear; robust but service-sensitive.","Transfer-case and diff oil every ~60-90k km."
jlr_active_driveline,on_demand,Active Driveline,JLR (GKN),"Front-drive with an on-demand clutch that fully disconnects the rear axle for economy and re-engages on demand.","Rear drive unit and PTU/disconnect are known trouble spots on Evoque/Discovery Sport - PTU failures common if the fluid is never changed.","PTU and rear-drive-unit oil every ~45-60k km - JLR's most-neglected fluid, and skipping it is what kills these."
jlr_idd_long,on_demand,IDD (longitudinal),JLR (GKN),"Rear-biased longitudinal AWD with an electronically-controlled multi-plate clutch.","Transfer-case and driveline wear; moderate reliability.","Transfer-case and diff oil every ~60k km."
selectable_4wd,permanent,part-time + low range,various (BorgWarner/Magna),"PART-TIME, driver-selected 4WD (2H/4H/4L) through a transfer case with low range; NO centre differential, so 4WD must NOT be used on dry tarmac (causes driveline wind-up). Default is rear-wheel-drive.","Transfer-case actuator/motor, auto-locking front-hub actuators, CV joints, and driveline damage from tarmac misuse.","Transfer-case oil plus front and rear diff oil every ~40-60k km; engage 4WD briefly now and then to keep seals and actuators alive."
permanent_4wd_lowrange,permanent,full-time + low range,various,"Full-time 4WD with a locking centre differential, a 2-speed transfer case, and often front/rear diff locks - usable on any surface.","Centre diff, transfer case and diff-lock actuators; on the Land Rovers the adjacent air suspension is a frequent expense.","Transfer-case oil plus all diff oils (centre/front/rear) every ~40-60k km; exercise the diff locks periodically so actuators don't seize."
econo_coupling,on_demand,soft-roader coupling,various (GKN/BorgWarner/JTEKT),"Light on-demand coupling (Haldex-type or GKN), front-drive until slip; tuned for road and light conditions, not sustained off-road or towing load.","Coupling and rear-diff overheating if towed or worked hard; coupling wear. Ford's PTU is a weak point on the Kuga family.","Coupling/rear-diff fluid every ~60k km; avoid heavy towing or extended off-road that cooks the coupling."
rear_torque_vectoring,on_demand,GKN Twinster,Ford (GKN),"Twin-clutch rear axle with a clutch per rear wheel; can overspeed the outer rear wheel to rotate the car and send up to ~70% rear.","Rear drive unit overheats and its clutches wear under track use; fluid degrades fast. (The RS head-gasket issue is an engine matter, not the drivetrain.)","Rear-drive-unit (Twinster) fluid every ~30-40k km, sooner with track use - small volume, critical, routinely skipped."
saawc_phev,dual_motor,S-AWC (PHEV),Mitsubishi,"No propshaft - a dedicated electric motor drives the rear axle while engine/motor drive the front, with active torque vectoring across the car.","Issues are hybrid/motor electronics rather than mechanical; the drive units themselves are simple.","Reduction-gear/diff fluid every ~60-100k km, plus hybrid-system coolant and checks on the PHEV schedule."
dual_motor_ev,dual_motor,dual-motor EV,various,"Separate front and rear electric motors with no mechanical link; the car splits torque in software, instantly and continuously. Nissan brands it e-4ORCE.","Effectively no mechanical drivetrain wear - occasional reduction-gear whine; any real cost is motor/inverter electronics, not gears.","Reduction-gear oil is usually genuine lifetime (change only ~100-150k km where a maker specifies it); the scheduled item is motor/inverter/battery coolant per the maker's interval."
e_axle_hybrid,dual_motor,e-axle AWD,various (Toyota / Nissan),"No propshaft; the front axle is driven by a hybrid combustion powertrain while the rear axle is driven entirely by a separate, independent electric motor (e.g., Toyota E-Four or Nissan e-POWER).","Highly reliable due to the lack of mechanical AWD components (transfer case or propshaft). AWD performance is strictly bound by battery charge; prolonged heavy load can deplete the battery and temporarily disable rear drive.","Rear reduction-gear/differential fluid every ~60-100k km, alongside regular hybrid-system coolant checks."
