code,family,car_count,reliability_note,maintenance_note
Fiat Dualogic AMT,amt,2,"Same story as the Easytronic — automated single-clutch manual with lurchy, jerky, slow shifts and a noticeable pause on each change. Clutch and clutch-actuator wear are the common failures, and the actuator/electro-hydraulic unit itself can fail. Best avoided for stop-go driving.",
Opel Easytronic AMT,amt,1,"Genuinely notorious. Automated single-clutch manual (robotised gearbox): slow, jerky, clunky shifts with a pronounced head-nod pause between gears, plus clutch-actuator and clutch wear that gets expensive. Poor low-speed and hill behaviour. A real reputation-killer in its day — avoid for a city buyer.",
Toyota Hybrid Synergy eCVT,cvt,11,"No common fault. It's a planetary power-split, not a belt CVT, so there's no belt or clutch pack to wear. Problems that do occur are hybrid electronics (inverter), not the transaxle itself.",
generic:?-speed CVT,cvt,11,Generic bucket — the specific CVT unit isn't identifiable from this data. Watch-item for any CVT: belt/chain wear and fluid service matter more than on a stepped automatic — ask for service history and avoid units with a neglected fluid-change interval.,
Subaru Lineartronic CVT,cvt,4,"Chain-driven rather than belt, so sturdier than most CVTs, but earlier units (roughly 2010–2015) had a well-documented torque-converter/valve-body shudder that triggered TSBs and an extended warranty in some markets. Later versions largely fixed it. Fluid temperature/condition is the thing to respect.",
Fiat/Alfa Multidrive S CVT,cvt,3,"UNVERIFIED — I can't give you a confident common-fault note here: ""Multidrive S CVT"" isn't a unit name I can reliably match to a documented failure record, and Fiat/Alfa barely used CVTs in Europe, so it may be a low-volume or market-specific/rebadged unit. Flagging rather than inventing a fault — worth confirming the exact model application before you enter anything.",
Nissan Xtronic CVT (Jatco),cvt,3,"One of the problem CVTs. Overheating, whining, judder/shudder, and outright premature failure into limp mode are all well documented, with extended warranties and class actions in North America. Heat is the enemy; it's the least confidence-inspiring auto on this list alongside the dry DCTs.",
Honda e:HEV eCVT,cvt,3,"No common fault. Like Toyota's hybrid unit, ""eCVT"" is a misnomer — there's no belt or clutch pack, just a lock-up clutch and electric drive — so the classic CVT wear modes don't apply. Very durable.",
Toyota Hybrid Synergy eCVT AWD-i,cvt,2,"No unit-specific fault data for this low-volume AWD-i variant — same power-split architecture as the standard Hybrid Synergy eCVT: no belt or clutch pack to wear, very durable. Problems that do occur tend to be hybrid/AWD electronics, not the transaxle itself.",
Audi Multitronic CVT,cvt,2,"Fault-prone, and discontinued for good reason. Chain stretch/failure, forward-clutch-pack wear, and control-module faults produce slipping, juddering and eventual failure, more likely at higher mileage. One of the units where an auto actually counts against a used car.",
Honda CVT,cvt,2,No unit-specific fault data for this low-volume unit — generic CVT note: belt/chain wear and fluid service matter more than on a stepped automatic; ask for service history.,
Honda Direct Shift CVT,cvt,1,No unit-specific fault data for this low-volume unit — generic CVT note: belt/chain wear and fluid service matter more than on a stepped automatic; ask for service history.,
generic:7-speed dct,dct,24,Generic bucket — the specific dual-clutch unit isn't identifiable from this data. Watch-item for any DCT: dry-clutch types can show low-speed judder/hesitation in stop-go traffic; wet-clutch types are generally smoother but fluid service still matters. Ask which type (dry/wet) if possible.,
generic:6-speed dct,dct,10,Generic bucket — the specific dual-clutch unit isn't identifiable from this data. Watch-item for any DCT: dry-clutch types can show low-speed judder/hesitation in stop-go traffic; wet-clutch types are generally smoother but fluid service still matters. Ask which type (dry/wet) if possible.,
generic:8-speed dct,dct,2,Generic bucket — the specific dual-clutch unit isn't identifiable from this data. Watch-item for any DCT: dry-clutch types can show low-speed judder/hesitation in stop-go traffic; wet-clutch types are generally smoother but fluid service still matters. Ask which type (dry/wet) if possible.,
VW DQ200,dct_dry,29,"The problem child of this list. Mechatronic failures (early units had the synthetic oil in the mechatronic degrading, causing pressure/electrical faults; later it's the valve body/accumulator) plus dry-clutch judder and premature clutch wear — worst in stop-go city traffic, exactly your Bratislava DCT concern. Subject to warranty extensions in several markets.",
Renault EDC 7-speed (dry),dct_dry,5,"Known trouble unit, dry-clutch again: clutch-actuator/mechatronic faults, low-speed jerkiness and judder in stop-go, and premature clutch wear. Warranty extensions in some markets.",
Ford PowerShift DPS6 (6-speed dry),dct_dry,4,"The infamous one, and it earns it. This is the Getrag 6DCT250 dry dual-clutch (Fiesta/Focus/EcoSport). The core defect is the dry clutch and its control: violent shuddering and juddering on take-off, hesitation and lurching at low speed, and repeated TCM (transmission control module) failures. A second failure mode is the input-shaft seals weeping transmission fluid onto the clutch friction faces, which contaminates them and causes slip/shudder — clutches then need replacing at low mileage. It generated class-action lawsuits and buybacks in the US and Australia and is widely regarded as one of the worst mass-market transmissions ever fitted. For your advisory: a hard avoid for a city buyer, and any DPS6 car needs documented clutch/TCM history.",
Renault EDC 6-speed (dry),dct_dry,4,"Sister to the 7-speed you already have, and mechanically a cousin of the DPS6 (both spring from the Getrag dry-PowerShift family). Same failure signature: dry-clutch judder and premature wear, jerky low-speed engagement in stop-go, and clutch-actuator/mechatronic faults. Better than the Ford in execution but the same architectural weakness.",
Ford PowerShift 7-speed,dct_dry,1,"The wet-clutch PowerShift (6DCT450), a different and far better unit than the dry DPS6. Much more durable, but still worth noting: some cars show low-speed shudder/judder and TCM or mechatronic faults, and it needs its fluid service respected. Nowhere near the DPS6's failure rate, but check for shudder and service history.",
VW DQ381,dct_wet,21,Much improved over the DQ200/DQ250 it replaced. Early cars had some low-speed juddering/hesitation resolved by software updates; no chronic mechanical failure pattern.,
VW DQ250,dct_wet,13,"Classic weak point is the mechatronic/valve body (pressure-control faults → harsh shifts or lost gears), plus clutch-pack wear at high km. Reliable if the fluid + filter are changed roughly every 60k km; neglect is what kills them.",
VW DQ500,dct_wet,7,"The strong DSG, built for AWD/high-torque and vans. Broadly reliable; occasional mechatronic issues but no chronic pattern.",
Mercedes-AMG 8-speed DCT,dct_wet,4,The AMG GT / GT 4-door transaxle unit. Robust for a performance gearbox; the only real wear item is clutch-pack life under repeated launch-control starts and track abuse. No chronic road-use failure pattern.,
Renault E-TECH Multi-mode,dct_wet,3,"PROVISIONAL — newer design with a limited track record, so treat fault data as provisional. Early reports centre on clunky or jerky mode/gear transitions and occasional actuator/software glitches rather than hard mechanical failure. Not enough high-mileage history yet to call it reliable or fragile with confidence.",
Porsche PDK-7,dct_wet,3,"Effectively no common fault for road use. Expensive to service, and repeated launch-control/track abuse eventually wears clutches, but the unit itself is exceptionally robust.",
Mercedes-AMG SpeedShift MCT 9-speed,dct_wet,2,"Based on the 9G-Tronic but with a wet start clutch replacing the torque converter (E63 W213, GT63 4-door). Robust; the start clutch can shudder or wear under hard repeated launches, but there's no chronic fault pattern in normal use.",
Porsche PDK-8,dct_wet,2,"No common fault. The current-generation 8-speed dual-clutch is very robust; same story as the PDK-7 — costly to service, clutches wear only under sustained abuse.",
Renault E-TECH Clutchless Auto,dct_wet,2,"No documented common fault. Renault's E-TECH hybrid drive uses dog-clutch engagement rather than a traditional friction clutch or torque converter, so classic gearbox wear modes don't apply. Newer, lower-volume design — limited long-term reliability history; hybrid-system electronics matter more than the drive unit itself.",
VW DQ400e,dct_wet,1,"No unit-specific fault data for this low-volume unit — generic wet-DCT note: wet-clutch DCTs are generally smooth with no chronic dry-clutch-style judder pattern, but fluid service still matters.",
Mercedes-AMG DCT 7-speed (rear transaxle),dct_wet,1,"No unit-specific fault data for this low-volume unit — generic wet-DCT note: wet-clutch DCTs are generally smooth with no chronic dry-clutch-style judder pattern, but fluid service still matters.",
Hyundai N DCT 8-speed (wet),dct_wet,1,"No unit-specific fault data for this low-volume unit — generic wet-DCT note: wet-clutch DCTs are generally smooth with no chronic dry-clutch-style judder pattern, but fluid service still matters.",
generic:6-speed Manual,manual,147,"Generic bucket — the specific gearbox unit isn't identifiable from this data. Simple, durable design with no gearbox-specific fault pattern. The clutch is a normal wear item, not a fault — on a used car, check for clutch judder, a high biting point, or crunchy/notchy shifts (especially 2nd gear) on the test drive. Bearing/synchro whine can appear at very high mileage.",
generic:5-speed Manual,manual,44,"Generic bucket — the specific gearbox unit isn't identifiable from this data. Simple, durable design with no gearbox-specific fault pattern. The clutch is a normal wear item, not a fault — on a used car, check for clutch judder, a high biting point, or crunchy/notchy shifts (especially 2nd gear) on the test drive. Bearing/synchro whine can appear at very high mileage.",
VW MQ200,manual,9,"No major common fault. Occasional input/pinion bearing whine and a worn 2nd-gear synchro at high mileage; the clutch is a normal wear item, not a gearbox fault.",
VW MQ250,manual,6,No major common fault. Same minor bearing/synchro wear profile as the other VW manuals at high km.,
VW MQ350,manual,4,No major common fault. Robust; minor bearing/synchro wear at high mileage.,
generic:7-speed Manual,manual,2,"Generic bucket — the specific gearbox unit isn't identifiable from this data. Simple, durable design with no gearbox-specific fault pattern. The clutch is a normal wear item, not a fault — on a used car, check for clutch judder, a high biting point, or crunchy/notchy shifts (especially 2nd gear) on the test drive. Bearing/synchro whine can appear at very high mileage.",
VW MQ100,manual,1,No major common fault. Same minor bearing/synchro wear profile as the other VW manuals (MQ200/MQ250/MQ350) at high km — VW's smaller-displacement 5-speed variant.,
generic:4-speed Manual,manual,1,"Generic bucket — the specific gearbox unit isn't identifiable from this data. Simple, durable design with no gearbox-specific fault pattern. The clutch is a normal wear item, not a fault — on a used car, check for clutch judder, a high biting point, or crunchy/notchy shifts (especially 2nd gear) on the test drive. Bearing/synchro whine can appear at very high mileage.",
generic:Single-speed EV,single_speed,49,"Generic bucket — the specific reduction-gear unit isn't identifiable from this data. Single-speed EV reducer — one fixed gear, no clutch or torque converter, so there is no traditional gearbox fault pattern. Very low maintenance. Any drivetrain issues are typically electronics/motor-related, not the reduction gear.",
generic:Single-speed RWD,single_speed,5,"Generic bucket — the specific reduction-gear unit isn't identifiable from this data. Single-speed EV reducer — one fixed gear, no clutch or torque converter, so there is no traditional gearbox fault pattern. Very low maintenance. Any drivetrain issues are typically electronics/motor-related, not the reduction gear.",
generic:Single-speed AWD dual motor,single_speed,4,"Generic bucket — the specific reduction-gear unit isn't identifiable from this data. Single-speed EV reducer — one fixed gear, no clutch or torque converter, so there is no traditional gearbox fault pattern. Very low maintenance. Any drivetrain issues are typically electronics/motor-related, not the reduction gear.",
generic:Single-speed EV (dual motor),single_speed,2,"Generic bucket — the specific reduction-gear unit isn't identifiable from this data. Single-speed EV reducer — one fixed gear, no clutch or torque converter, so there is no traditional gearbox fault pattern. Very low maintenance. Any drivetrain issues are typically electronics/motor-related, not the reduction gear.",
generic:e-Power Fixed Ratio,single_speed,2,"Generic bucket — specific unit not identifiable. Series-hybrid / fixed-ratio drive: the wheels are driven by an electric motor through a fixed reduction (no clutch or multi-speed gearbox to wear), so there's no traditional gearbox fault pattern. It does have a petrol engine acting as a generator — so engine/hybrid-system health matters, even though the drive unit itself is simple.",
