group_key,unit_code_or_type,family,car_count,example_cars,current_faults,NEW_FAULTS
zf_8hp,ZF 8HP,torque_converter,35,"BMW 2 Series Coupe (F22), BMW 4 Series (F32/F33/F36), RAM 1500 (DT)","Fluid change at 80k km | Fluid change at 80k km — often neglected on trucks | Fluid change | Fluid change at 80k km — BMW says lifetime fill, but specialists disagree | Mechatronics at very high mileage — rare | Torque converter wear on high-mileage units | Change fluid at 80k km — not lifetime as BMW claims | Fluid change at 80k km — not lifetime | Fluid change at 80k km essential | Fluid change at 80k km essential at this age","Very robust; one of the best autos made. Main watch-item is the ""sealed for life"" fluid myth: skip the ~80–100k km service and you get valve-body/mechatronic wear and harsh shifts. Some early cars had torque-converter lock-up shudder. RAM's 8HP75 shares the same profile."
vw_dq200,VW DQ200,dct_dry,29,"Volkswagen T-Cross, Volkswagen Arteon, Audi A3 (8Y)","Mechatronics failure | Mechatronics unit failure — 800 – 1,500 EUR | Dry clutch plates — juddering on launch | Input shaft bearing — noise in neutral | Oil change every 60,000 km often neglected | Mechatronics failure — 800 – 1,500 EUR | Dry clutch judder on launch | Input shaft bearing noise in neutral | Dry clutch judder in slow traffic | Dry clutch judder in traffic | Improved mechatronics over Gen 1 but not eliminated | Dry clutch judder in slow traffic still possible | Input shaft bearing noise | Dry clutch judder | Mechatronics failure — same VW DQ200 issue | Clutch shudder at low speed | Software updates needed","The problem child of this list. Mechatronic failures (early units had the synthetic oil in the mechatronic degrading, causing pressure/electrical faults; later it's the valve body/accumulator) plus dry-clutch judder and premature clutch wear — worst in stop-go city traffic, exactly your Bratislava DCT concern. Subject to warranty extensions in several markets."
aisin_8at,Aisin 8AT,torque_converter,25,"Peugeot 308 II (T9), Peugeot 308 III (P5), Peugeot 3008 II (P84)",Fluid change at 80k km recommended | Occasional harsh cold shifts | Fluid change at 80k km | Harsh cold shifts on early cars | Cold shift harshness on early cars | Hesitation on some early cars | Fluid change,"Hardware is durable, but the Stellantis/PSA integration drew complaints of jerky, hesitant low-speed shifts and lock-up shudder — mostly software/calibration rather than mechanical. Fluid service matters."
aisin_6at,Aisin 6AT,torque_converter,24,"Toyota RAV4 (XA40), Toyota Hilux (AN120/AN130), Toyota Land Cruiser (J150 Prado)",Torque converter — reliable but fluid change at 80k km recommended | Fluid change at 80k km recommended | Torque converter extremely reliable | Fluid change recommended at 80k km | Occasional slow kickdown | Fluid change at 80k km | Fluid change at 80k km critical at this age | Fluid change at 80k km critical | Hesitation at low speed,"No significant common fault. Among the most durable autos in the catalog; at very high km you might see a tired solenoid or harsh shifts from neglected fluid, nothing chronic."
vw_dq381,VW DQ381,dct_wet,21,"Škoda Octavia IV (NX), Škoda Kodiaq (NS7), Škoda Karoq (NU)",Wet clutch — significantly more reliable than DQ200 | Software updates occasionally needed for shift quality | Newer design — fewer faults than DQ200 | Software updates occasionally needed | Wet clutch — much more reliable than DQ200 | Wet clutch — much more reliable than old DQ200 | Wet clutch — reliable | Software updates needed occasionally | Fluid change at 60k km | Fluid change,Much improved over the DQ200/DQ250 it replaced. Early cars had some low-speed juddering/hesitation resolved by software updates; no chronic mechanical failure pattern.
vw_dq250,VW DQ250,dct_wet,13,"Škoda Octavia II (1Z), Škoda Octavia III (5E), Škoda Superb III (3V)","Mechatronics can fail but more reliable than DQ200 | Oil change every 60,000 km is critical | Valve body — rough shifting if oil neglected | Mechatronics more robust than DQ200 but not trouble-free | Oil cooler — check for leaks at higher mileage | Mechatronics more robust than DQ200 | Oil cooler leaks possible | Oil change every 60k km critical | Mechatronics — more robust than DQ200 but can fail | Oil change every 60k km absolutely critical | Valve body wear if oil neglected | Oil cooler — check for leaks | Mechatronics — robust but not trouble-free | Oil cooler check for leaks | Mechatronics — more robust than DQ200 | Oil cooler leak possible | Fluid change at 60k km | Mechatronic at very high mileage","Classic weak point is the mechatronic/valve body (pressure-control faults → harsh shifts or lost gears), plus clutch-pack wear at high km. Reliable if the fluid + filter are changed roughly every 60k km; neglect is what kills them."
toyota_hybrid_synergy_ecvt,Toyota Hybrid Synergy eCVT,cvt,11,"Toyota Corolla (E210), Toyota Auris II / Corolla (E180), Toyota Yaris (XP210)","Virtually maintenance-free — no clutch, no traditional gears | Virtually maintenance-free | Generally reliable — proven in Ford/Toyota hybrid systems | Generally reliable | Virtually maintenance-free — Toyota eCVT | Maintenance-free","No common fault. It's a planetary power-split, not a belt CVT, so there's no belt or clutch pack to wear. Problems that do occur are hybrid electronics (inverter), not the transaxle itself."
vw_mq200,VW MQ200,manual,9,"Škoda Octavia II (1Z), Škoda Fabia III (NJ), Škoda Rapid Spaceback (NH3)",Clutch cable stretching with age | Cable clutch stretching | Stiff shifting when cold in winter | Cable shift slight play with age | Cable shift slight play over time | Stiff when cold in winter | Stiff when cold | Clutch cable stretching,"No major common fault. Occasional input/pinion bearing whine and a worn 2nd-gear synchro at high mileage; the clutch is a normal wear item, not a gearbox fault."
vw_dq500,VW DQ500,dct_wet,7,"Škoda Kodiaq (NS7), Volkswagen Tiguan II (AD), Audi A6 (C7)","Mechatronics more durable but expensive — 1,200 – 2,000 EUR | Oil cooler leak at high mileage | Mechatronics durable but expensive — 1,200 – 2,000 EUR | Fluid change at 60k km | Mechatronic at very high mileage | Judder at very high mileage | Fluid change at 60k km essential","The strong DSG, built for AWD/high-torque and vans. Broadly reliable; occasional mechatronic issues but no chronic pattern."
mazda_skyactiv_drive_6at,Mazda Skyactiv-Drive 6AT,torque_converter,7,"Mazda CX-5 (KF), Mazda Mazda 3 (BP), Mazda CX-30",Fluid change at 80k km recommended | Virtually no issues — Mazda auto is proven | Fluid change at 80k km | Fluid change,"Generally reliable. Some cars show low-speed torque-converter shudder or harsh shifts traceable to TCM software or old fluid, but it's not a widespread mechanical failure."
